sortie_id,source_front_image,paired_back_candidate_by_rule,paired_back_reviewed,report_date,unit,squadron,aircraft_type,aircraft_count,base,target,time_up,time_over_target,time_down,route_note,observation_point,special_remarks,confidence
82BS_1944-10-05,IMG_3393.JPG,IMG_3394.JPG,no,1944-10-05,12th Bombardment Group (M),82nd Squadron attached flight,12 Mitchells,12,Fenny L.G.,"Kalewa, China/Burma theater target area, map reference RU 8269 (84 I quarter-inch)",0833,1008-1016,1125,"Target weather section states over base all stratus, over hills 5500 foot tops, and over target 6-7/10 cumulus with base around 15000. Front page notes a demolition bombing mission with 120 x 250 GP bombs in the first box and 16 x 250 GP bombs in the second box, with spread and interval details listed on the form.",Map reference RU 8269 (84 I quarter-inch),"This page is more fragmentary than the others in the batch, but the date, squadron, base, timing, and target reference are legible. Rule-linked candidate backside IMG_3394.JPG not yet individually reviewed.",medium; partial front-page extraction
434BS_1944-10-06,IMG_3399.JPG,IMG_3400.JPG,no,1944-10-06,12th Bombardment Group (M),434th Squadron,12 B-25s,12,Comilla,"Village of Kalemyo, Burma; alternate military area just north of Indainggyi, Burma",1530,1645,1800,"All aircraft took off from 1530 to 1535, flew on a course of 98 degrees to target, and returned on a course of 268 degrees. Both boxes laid bomb patterns in the village, with 88 bombs falling on the target and 7 falling short or over. Front page also records secondary observations en route near Kokko, Tiddim, and Kaptel.",22 48N 94 08E; 23 17N 93 34E,"104 x 250-lb M-57 GP carried; 95 dropped in target area, 8 salvoed safe north of target, and 1 brought back. 1,000 propaganda leaflets were dropped in the target area. Rule-linked candidate IMG_3400.JPG has not yet been reviewed.",high for front-page extraction
81BS_1944-10-06,IMG_3403.JPG,IMG_3404.JPG,no,1944-10-06,12th Bombardment Group (M),81st Squadron,"12 B-25s, 7 H's, 4 J's, 1 C",12,Feni,"Town of Kalemyo, Burma; stores area at Indainggyi, Burma; ferry point at Kalewa, Burma",0745,0917 at Indainggyi / 0900 at Kalemyo and Kalewa,1005-1020 except #14 1120,"Multi-target strike from Feni against Kalemyo, Indainggyi, and Kalewa. Front page records separate bombing times for Indainggyi and for Kalemyo/Kalewa, with detailed bomb results for each target and narrative notes that the first box bombed Indainggyi on the second run after cloud obscured the first approach.",Indainggyi; Kalemyo; Kalewa,"108 x 250 GP instantaneous-nose bombs and 24 x 250 GP long-delay bombs were carried. The page records separate bomb totals by target, plus photographic coverage from aircraft 23 and 26 and a flexible camera from 19. Rule-linked candidate IMG_3404.JPG has not yet been reviewed.",high for front-page extraction
82BS_1944-10-06,IMG_3414.JPG,IMG_3415.JPG,no,1944-10-06,12th Bombardment Group (M),82nd Squadron,11 Mitchells,11,Fenny,Demolition bombing of railroad bridge at Bawgyo (ST 1107),0731,0935 and 0947 first box / 0936 and 0949 second box,1150,"Mission from Fenny against the railroad bridge at Bawgyo. The bombing section records two runs for each box, with first-box courses of 305 and 340 degrees and second-box courses of 330 and 330 degrees, speeds around 180-185 MPH, and altitudes roughly 5600-6800 feet.",ST 1107; Mandalay-Lashio RR tracks,66 x 500-lb composition-B bombs were carried and all 66 were dropped. Ammunition expended was 485 rounds .50 cal. The front page also records leaflet drops along the Mandalay-Lashio railroad and summarizes run-by-run bridge-hit patterns. Rule-linked candidate IMG_3415.JPG has not yet been reviewed.,high for front-page extraction
83BS_1944-10-06,IMG_3401.JPG,IMG_3402.JPG,no,1944-10-06,12th Bombardment Group (M),83rd Bombardment Squadron,12 Mitchell B-25s,12,"Fenny A/D, India",Bombing of bridge at Nyaungyan,0800,,1130,"Mission launched from Fenny toward the Nyaungyan bridge. As the formation approached roughly 21 50N 96 10E at 0940, enemy fighters attacked; all planes jettisoned their bomb load at 21 30N 96 07E and the target was not bombed. The front page contains an extended air-combat narrative describing multiple Japanese fighter passes and the loss of plane #63.",21 30N 96 07E; 21 50N 96 10E,"72 x 500 composition-B bombs were carried and all 72 were jettisoned due to enemy fighter attack. Ammunition expended was 15,200 rounds .50 cal, with an additional 5,000 rounds lost on crashed plane #63. Lt. Sheridan of plane #52 was wounded, plane #57 and the leader #65 were hit, and plane #63 crashed at 0946 with one or possibly two parachutes seen. Rule-linked candidate IMG_3402.JPG has not yet been reviewed.",high for front-page extraction
434BS_1944-10-07,IMG_3405.JPG,IMG_3406.JPG,no,1944-10-07,12th Bombardment Group (M),434th Squadron,12 B-25s,12,Comilla,"Primary target: military area just north of Indainggyi, Burma (RU 608756); alternate target: area along west shore of Chindwin River, Kalewa, Burma",1530,1643,1800,"All aircraft took off from 1530 to 1535 and flew on a course of 150 degrees toward Chittagong. At Rangamatti at 1605, aircraft 87 turned back with engine trouble and landed at base at 1640 with all bombs. The other 11 aircraft flew from the Chittagong area to the target on a course of 82 degrees and returned to base on 278 degrees.",RU 608756; Rangamatti 1605; red flare at 23 04N 93 41E at 1630,"144 x 250-lb M-57 GP carried; 115 dropped in target area, 5 salvoed 1000 yards north of target, and 24 brought back. Bomb run 345-350 degrees at indicated 6500 feet, IAS 185 MPH, intervalometer 180 feet. Photos were taken on bomb-run statistics by aircraft 71, 78, 73, and 77, and 12,000 propaganda leaflets were dropped in the target area. Rule-linked candidate IMG_3406.JPG has not yet been reviewed.",high for front-page extraction
81BS_1944-10-07,IMG_3418.JPG,IMG_3419.JPG,no,1944-10-07,12th Bombardment Group (M),81st Squadron,"12 B-25s (4 J's, 8 H's)",12,Feni,"Railroad bridge #393 at Pyinmana, 19 44 N 96 12 E; alternate bridges #453 at Sinthe, LQ 682367 and #527 at Shweda, LQ 525925",0810,nil,0950,"Mission from Feni against the Pyinmana bridge system. The formation was unable to make contact with the fighter escort over the rendezvous point at Chittagong and turned back as briefed at 21 30 N, 92 45 E at 0910, landing back at Feni at 0950.",19 44 N 96 12 E; 21 30 N 92 45 E; Sinthe LQ 682367; Shweda LQ 525925,"80 x 500-lb comp B bombs were carried; none were dropped and all were brought back. Leaflets on takeoff: 12,000 SB/15 and 3,000 SBN/2, all brought back. Ammunition expended: 405 rounds .50 caliber. Rule-linked candidate IMG_3419.JPG has not yet been reviewed.",high for front-page extraction
82BS_1944-10-07,IMG_3416.JPG,IMG_3417.JPG,no,1944-10-07,12th Bombardment Group (M),82nd Squadron,12 Mitchells,12,Fenny,Bombing of railroad bridge at Pyinmana (LV 6695),0812,none recorded,1010,Mission launched from Fenny against the railroad bridge at Pyinmana. Front page records that the fighter escort failed to rendezvous as scheduled and the entire formation returned to base without pressing the strike.,LV 6695,80 x 500-lb composition B bombs were carried and all were brought back. Ammunition expended: 310 rounds .50 cal. Rule-linked candidate IMG_3417.JPG is the reverse-side candidate by number but has not been reviewed.,medium-high; clear aborted-mission front-page extraction
434BS_1944-10-10,IMG_3424.JPG,IMG_3425.JPG,no,1944-10-10,12th Bombardment Group (M),434th Squadron,12 B-25s,12,Comilla,Bomb bridges along the Kanu-to-Yeu road; road bridge over canal at SR 240204,0900,1030-1045,1240,"All aircraft took off from 0900 to 0905 and flew on a course of 100 degrees to the target. At 1000, aircraft 78 turned back at 23 05N, 93 40E with engine trouble and landed at base at 1057 with all bombs. The other 11 aircraft returned from the target on a course of 280 degrees.",SR 240204; 23 05N 93 40E; RU 8758 at 1112,"144 x 250-lb M-57 GP instantaneous-nose bombs were carried; 132 were dropped in the target area and 12 were brought back. Ammunition expended: 704 rounds .50 cal. Bomb run 90 degrees at indicated 4500 to 5100 feet, IAS 185 MPH; each box made two bomb runs, dropping half their loads on each run. Photos were taken by aircraft 71, 77, 73, and 85. 8,800 propaganda leaflets CBA/31 were released, and a river boat over 100 feet long was observed on the Chindwin River at RU 8758 at 1112 from indicated 12,000 feet. Rule-linked candidate IMG_3425.JPG has not yet been reviewed.",high for front-page extraction
81BS_1944-10-10,IMG_3430.JPG,IMG_3431.JPG,no,1944-10-10,12th Bombardment Group (M),81st Squadron,"12 B-25s (4 J's, 8 H's)",12,FENI,"Railroad bridge at Chaung-U, Burma (21 57N, 95 17E); alternate No. 4 at Monywa (22 07N, 95 08E); second alternate stores area at Indainggyi, RU 6074",0820,0958-1010,1130,"The front page identifies 81st Squadron with leading aircraft 21. Weather was good, with 6/10 cumulus, 2000-foot base, and 8-10 mile visibility. The first box bombed the Chaung-U bridge in multiple runs, with bombs released at 1001 and 1010 on headings of 190 and 200 degrees from about 1700 feet indicated at 190 IAS. The second box also made repeated runs, including a 0958 drop and a 1005 run on 200 to 250 degrees from about 2700 feet indicated at 185 IAS.",Chaung-U 21 57N 95 17E; Monywa 22 07N 95 08E; Indainggyi RU 6074,"Bombs carried on takeoff: 80 x 500-lb Comp B fused 1/10 nose x 1/40 tail. Bombs dropped on target: 72 x 500. Bombs brought back: 8 x 500, because A/C 22 took off and landed immediately due to engine trouble. Ammunition expended: 475 rounds .50 cal. Results say the bridge was still standing on arrival; bombing likely weakened the northern support, damaged tracks at the northern end, and left the southern end appearing out of line. The formation also saw light and heavy AA about 5 miles north of Monywa, apparently directed at another squadron bombing there. Photographs were taken from a fixed K-24 in A/C 20 and from flexible K-20s in A/C 09 and 19. Rule-linked candidate IMG_3431.JPG has not yet been reviewed.",high for front-page extraction
82BS_1944-10-10,IMG_3427.JPG,IMG_3428.JPG,no,1944-10-10,12th Bombardment Group (M),82nd Squadron,12 Mitchells,12,Fenny,"Demolition bombing of stores area at Monywa, Burma (PK 5184)",0800,0922 first box / 0929 second box,1105,"Target weather notes one large cloud over the target with 6000-foot base building to 10,000. Bombing was in two boxes: first-box course 157 degrees at 195 MPH from 8000 feet, second-box course 153 degrees at 180 MPH from 8200 feet, with 300-foot intervalometer setting. The first-box pattern started at an east-west road crossing in the northern half of the target area and ran south through central and eastern portions; the second-box pattern started south of the same road and followed a similar course with a few hits just outside the eastern portion.",Monywa PK 5184; fire believed to come from a large white building or possible pagoda where the Thade Chaung river forms a Y-runner,"Bombs carried: 80 x 500-lb composition B fused 1/10 nose and 1/40 tail. All 80 bombs were dropped on target. Ammunition expended: 740 rounds .50 cal. Leaflets dropped included SJ/40 (50,000), SJN/8 (5,000), SJN/7 (5,000), and SBN/2 (3,000), dropped along the railroad southeast of the target. Opposition included fifteen to twenty bursts of 20 mm at 8000 feet plus nine bursts of light AA at 10,000 and trailing. Smoke rising to 3000 feet could be seen 30 miles from the target area. Rule-linked candidate IMG_3428.JPG has not yet been reviewed.",high for front-page extraction
434BS_1944-10-11,IMG_3437.JPG,IMG_3438.JPG,no,1944-10-11,12th Bombardment Group (M),434th Squadron,9 B-25s,9,Comilla,"Primary: rail bridge at Kyaukse, Burma; alternate: rail bridge at Chaungu, Burma",0845,1040-1050,1240,"All aircraft took off from 0845 to 0850, flew out on a course of 113 degrees to target, and returned on 294 degrees. Bombing time is listed as 1040 to 1050. The bomb run was 320 to 350 degrees from 4500 to 5100 feet indicated at IAS 180 to 185 MPH, with 20-foot interval setting and pattern bombing on the formation leader.",Kyaukse area; grass fighter strip just south of Kyaukse at LF 655155,"Bombs carried on takeoff: 62 x 500-lb M-64 GP, instantaneous nose and 1/40 tail. All bombs were dropped in the target area. Ammunition expended: 546 rounds .50 cal, estimated test fired. Results note all bombs in the target area. Photos were taken on bomb-run statistics by A/C 71, 76, and 77, and a grass fighter strip was photographed by A/C 77. No propaganda leaflets were dropped. Observations note the grass fighter strip ran roughly NW-SE, was marked with bomb craters, and had large white and orange boxes piled near its southeast end. Rule-linked candidate IMG_3438.JPG has not yet been reviewed.",high for front-page extraction
81BS_1944-10-11,IMG_3443.JPG,IMG_3444.JPG,no,1944-10-11,12th Bombardment Group (M),81st Squadron,"12 B-25s (4 J's, 7 H's, 1 G)",12,Feni,"R.R. Bridge #393 at Sinthe, LQ 682367; alternate target: R.R. bridge at Shweda, LQ 525925",0820,1025,1210,"Mission from Feni with 7 P-38 escorts against the Sinthe bridge. Aircraft #20 turned back at 0837 at 22 20 N, 91 50 E due to engine trouble; aircraft 29 and 19 misunderstood the signal and followed it back to base, all three landing at 0900. The primary target was bombed at 1025 from a true altitude of 2500 feet on a course of 105 degrees at IAS 185.",LQ 682367; LQ 525925; 20 26 N 95 27 E; 22 20 N 91 50 E; Yenganyaung,"66 x 500-lb GP bombs and 14 x 500-lb composition-B bombs were carried. Bombs dropped on target: 46 x 500-lb GP and 8 x 500-lb composition-B; 6 x 500-lb composition-B were salvoed on the railroad at 20 26 N, 95 27 E after a mechanical release failure; 20 x 500-lb GP were brought back. Ammunition expended: 425 rounds .50 caliber. Assessment states the track at the western end of the bridge was badly damaged and the extreme western approach may have been weakened. Photos were taken from K-24 fixed cameras in aircraft 27 and 22 and K-20 flexible cameras in aircraft 19 and 25. Rule-linked candidate IMG_3444.JPG has not yet been reviewed.",high for front-page extraction
82BS_1944-10-11,IMG_3439.JPG,IMG_3440.JPG,yes,1944-10-11,12th Bombardment Group (M),82nd Squadron,12 Mitchells,12,Fenny,Demolition bombing of Pyinmana Bridge (LV 6695),0800,1017 first box / 1027 second box,1220,Mission from Fenny against Pyinmana Bridge. Front and reverse pages show the first box bombed on a pattern that started on the north bank northwest of the bridge and ran northeast across the roadbed; the second box followed a similar pattern closer to the river. Aircraft #34 had a mechanical failure and salvoed 500 yards past the pattern.,LV 6695; LV 6981; LV 5071; LV 5373; LQ 6712; LV 3286; PU 8738; LV 4679; Yenangyaung PU 1684,"70 x 500-lb composition-B bombs and 14 x 500-lb RDX bombs were carried and all 84 bombs were dropped. Ammunition expended: 670 rounds .50 cal. Leaflets dropped: 30,000 SB/17 and 5,000 SBN/3 just east of the target area. Reverse page records AA/AAA fire southwest of Pyinmana and HAA from Yenangyaung. Photos were taken by aircraft 39, 36, 33, and 44. Observations include covered sheds at LV 6981, a storage area near Kontha at LV 5071, a strip at Lewe LV 5373, dispersed rolling stock at LQ 6712, and other road and river activity. Weather narrative on the reverse was also reviewed.",high for front+back extraction
434BS_1944-10-12,IMG_3449.JPG,IMG_3450.JPG,no,1944-10-12,12th Bombardment Group (M),434th Squadron,12 B-25s,12,Comilla,"Primary target: rail bridge at Myittha, Burma; alternate: rail bridge at Chaungu, Burma",0900,1106-1113,1310,"All aircraft took off from 0900 to 0905 and flew on a course of 116 degrees to the target. Aircraft 78 turned back at 23 15N, 91 40E and landed at 0925 with all bombs; aircraft 85 turned back at 22 52N, 92 27E and landed at 0944 with all bombs. The other 10 aircraft returned from target on a course of 295 degrees.",23 15N 91 40E; 22 52N 92 27E; 21 54N 94 53E; 22 22N 93 56E; 22 46N 92 50E,"80 x 500-lb M-65 GP bombs were carried. 54 bombs were dropped in the target area, 17 were dropped 2000 yards south of target in open country, and 13 were salvoed en route: 6 at 1149 near 21 54N 94 53E, 3 at 1210 near 22 22N 93 56E, and 4 at 1229 near 22 46N 92 50E. Ammunition expended: 510 rounds .50 cal estimated test fire. Bomb run 340-360 degrees at indicated 5200 feet, IAS 180 MPH, interval 20 feet. The second run of the first box crossed the middle span and knocked it out. Photos were taken on bomb-run statistics by aircraft 70, 76, and 77; aircraft 76 also photographed Kume Road railroad station at 1110. Rule-linked candidate IMG_3450.JPG has not yet been reviewed.",high for front-page extraction
81BS_1944-10-12,IMG_3452.JPG,IMG_3453.JPG,no,1944-10-12,12th Bombardment Group (M),81st Squadron,"12 B-25s (3 J's, 8 H's, 1 G)",12,Feni,"R.R. Bridge No. 393 at Sinthe, LQ 682367, elev. 450 feet; alternate target: bridge at Shweda, LQ 525925",0824,1020 first box / 1022 second box,1210,Mission from Feni with eight P-38 escorts against the Sinthe bridge. The bridge appeared serviceable on arrival although craters were observed close to the northwestern support. Aircraft 12 was unable to release over the target and later jettisoned after returning toward Feni.,LQ 682367; LQ 525925; 23 20 N 91 20 E; 22 45 N 91 20 E; 20 26 N 95 07 E; 20 46 N 94 46 E; 20 08 N 96 16 E,"78 x 500-lb GP bombs were carried; 72 were dropped on target and 6 were jettisoned. First box bombed at 1020 from true altitude 2500 feet on a course of 90 degrees at IAS 185; second box bombed at 1022 from true altitude 2900 feet on a heading of 100 degrees at IAS 185. Assessment states strikes were obtained on the first and probably second spans and the bridge was badly damaged. A/C 12 jettisoned four bombs at 23 20 N, 91 20 E and two at 22 45 N, 91 20 E at 1225 after wheel trouble; four exploded and two fell safe. Ammunition expended: 455 rounds .50 cal. Photos were taken from K-24 fixed cameras in aircraft 22 and 21 and a K-20 flexible camera in aircraft 12. Leaflets dropped in target area: 50,000 SJ/40, 10,000 SB/17, 5,000 SJN/8, 4,000 SB/15, and 2,500 SBN/3. Rule-linked candidate IMG_3453.JPG has not yet been reviewed.",high for front-page extraction
82BS_1944-10-13,IMG_3457.JPG,IMG_3458.JPG,no,1944-10-13,12th Bombardment Group (M),82nd Squadron,12 Mitchells,12,Fenny,"Demolition bombing of military area at Hsenwi, Burma, 23 18N 97 55E (SO 9000)",0715,0945 first box / 0947 second box,1240,"Mission from Fenny against the Hsenwi military area. Weather summary notes haze to 2500 feet from base to hills, scattered stratocumulus over hills and target, and building weather on return over the Chin Hills.",SO 9000; 23 18N 97 55E,"264 x 100-lb GP bombs were carried and all were dropped on target. Bombing was from roughly 7000 feet at 185 MPH with 200-foot interval spacing. Ammunition expended: 615 rounds .50 cal. First-box pattern covered the southern portion of the target; second-box pattern covered the center and ran slightly west of the target. One basha received three direct hits, producing a very large explosion and dark smoke. Photo aircraft included 33, 39, 46, 31, and 44. Rule-linked candidate IMG_3458.JPG has not yet been reviewed.",high for front-page extraction
83BS_1944-10-13,IMG_3459.JPG,IMG_3460.JPG,no,1944-10-13,12th Bombardment Group (M),83rd Bombardment Squadron,12 Mitchell B-25s,12,"Fenny A/D, India","Bomb stores area at Hsenwi, Burma",0721,0945,1215,"Route recorded as base on a 90-degree heading to a point 15 miles south of target, then direct to target and direct return to base. General weather was listed as poor, with building cumulus over the hills on return.",22 57N 97 32E; SS 8772; Hsenwi; Namtu area,"264 x 100-lb GP bombs were carried and all 264 were dropped on target. Bombing interval 240 feet. Courses were listed for the two boxes and bombing altitudes were approximately 9400 and 8600 feet; speeds 185 and 175 MPH. Ammunition expended: 720 rounds .50 cal. Results note hits on buildings with a large explosion, multiple fires, and more than six fires visible in the target area. Opposition and casualties were nil. Photo ships included aircraft 53, 61, 60, and 59. Observations mention a train with an engine at each end at 22 57N, 97 32E, smoke from the Namtu area, and a new hill road at SS 8772 with trucks and buildings. Rule-linked candidate IMG_3460.JPG has not yet been reviewed.",high for front-page extraction
